,0,1,2,3,4,5,6
0,213,205,0,15,1440,1351716,0
1,213,205,0,47,1440,1351725,0
2,213,205,0,68,1440,1351734,0
3,213,205,0,84,1420,1351743,0
4,214,205,0,88,1440,1351752,0
5,214,205,0,97,1430,1351761,0
6,214,205,0,123,1440,1351770,0
7,214,204,0,148,1450,1351779,0
8,214,204,0,175,1430,1351788,0
9,214,204,0,207,1440,1351797,0
10,214,204,0,236,1450,1351806,0
11,214,204,0,272,1450,1351815,0
12,214,204,0,304,1450,1351824,0
13,214,204,0,327,1430,1351833,0
14,214,204,0,355,1430,1351842,0
15,214,204,0,381,1430,1351851,0
16,214,204,0,405,1430,1351860,0
17,214,204,0,429,1440,1351869,0
18,214,204,0,446,1420,1351878,0
19,214,204,0,465,1420,1351887,0
20,214,204,0,482,1420,1351896,0
21,214,204,0,488,1420,1351905,0
22,214,204,0,505,1430,1351914,0
23,214,204,0,517,1430,1351923,0
24,214,204,0,525,1440,1351932,0
25,214,204,0,542,1440,1351941,0
26,214,204,0,553,1440,1351950,0
27,214,203,0,561,1440,1351959,0
28,214,203,0,580,1440,1351968,0
29,215,203,0,590,1440,1351977,0
30,215,203,0,602,1430,1351986,0
31,215,203,0,610,1450,1351995,0
32,215,203,0,611,1440,1352004,0
33,215,203,0,620,1440,1352013,0
34,215,203,0,623,1450,1352022,0
35,215,203,0,620,1440,1352031,0
36,215,203,0,625,1440,1352040,0
37,214,203,0,625,1440,1352049,0
38,214,203,0,620,1440,1352058,0
39,214,204,0,623,1440,1352067,0
40,213,204,0,624,1430,1352076,0
41,213,204,0,623,1450,1352085,0
42,213,205,0,629,1430,1352094,0
43,212,205,0,627,1440,1352103,0
44,212,205,0,629,1430,1352112,0
45,212,206,0,635,1430,1352121,0
46,212,206,0,632,1420,1352130,0
47,212,206,0,638,1420,1352139,0
48,211,206,0,641,1430,1352148,0
49,211,207,0,638,1420,1352157,0
50,211,207,0,640,1420,1352166,0
51,211,208,12,645,1430,1352175,0
52,211,208,12,655,1430,1352184,0
53,211,208,0,651,1430,1352193,0
54,211,209,12,648,1430,1352202,0
55,211,209,0,650,1430,1352211,0
56,211,209,0,654,1420,1352220,0
57,211,210,12,647,1420,1352229,0
58,211,210,0,652,1410,1352238,0
59,211,210,0,655,1420,1352247,0
60,211,210,0,653,1430,1352256,0
61,211,211,0,661,1430,1352265,0
62,211,211,0,664,1430,1352274,0
63,211,211,0,665,1430,1352283,0
64,211,212,0,672,1430,1352292,0
65,211,212,0,671,1430,1352301,0
66,211,212,0,672,1430,1352310,0
67,211,212,0,680,1410,1352319,0
68,211,213,0,672,1420,1352328,0
69,211,213,0,680,1420,1352337,0
70,211,213,0,684,1420,1352346,0
71,211,214,0,682,1420,1352355,0
72,211,214,0,690,1420,1352364,0
73,212,214,0,693,1410,1352373,0
74,212,215,0,695,1420,1352382,0
75,212,215,0,702,1420,1352391,0
76,212,215,0,702,1420,1352400,0
77,212,215,0,705,1440,1352409,0
78,213,216,0,711,1450,1352418,0
79,213,216,0,705,1440,1352427,0
80,213,217,0,711,1450,1352436,0
81,214,217,0,715,1450,1352445,0
82,214,217,0,711,1460,1352454,0
83,215,218,0,716,1450,1352463,0
84,215,218,0,717,1450,1352472,0
85,216,218,0,716,1450,1352481,0
86,216,219,0,723,1450,1352490,0
87,217,219,0,723,1450,1352499,0
88,217,219,0,726,1450,1352508,0
89,218,220,0,732,1450,1352517,0
90,219,220,0,731,1450,1352526,0
91,219,220,0,739,1450,1352535,0
92,220,220,0,745,1430,1352544,0
93,221,221,0,742,1420,1352553,0
94,222,221,0,747,1440,1352562,0
95,223,221,0,749,1460,1352571,0
96,224,221,0,748,1460,1352580,0
97,225,221,0,752,1490,1352589,0
98,225,221,0,750,1480,1352598,0
99,226,222,0,753,1500,1352607,0
100,227,222,0,757,1500,1352616,0
101,228,222,0,753,1500,1352625,0
102,229,222,0,759,1530,1352634,0
103,230,222,0,761,1540,1352643,0
104,231,222,0,756,1570,1352652,0
105,231,222,0,759,1570,1352661,0
106,232,222,0,759,1590,1352670,0
107,233,222,0,757,1590,1352679,0
108,233,222,0,761,1580,1352688,0
109,234,222,0,759,1580,1352697,0
110,235,223,0,760,1580,1352706,0
111,235,223,0,763,1580,1352715,0
112,236,223,0,760,1580,1352724,0
113,237,223,0,765,1590,1352733,0
114,237,223,0,770,1590,1352742,0
115,238,223,0,762,1590,1352751,0
116,238,223,0,769,1570,1352760,0
117,239,223,0,772,1570,1352769,0
118,239,223,0,769,1580,1352778,0
119,240,223,0,776,1570,1352787,0
120,241,223,0,776,1580,1352796,0
121,241,223,0,775,1580,1352806,0
122,242,223,0,781,1570,1352815,0
123,242,223,0,779,1570,1352824,0
124,243,222,0,783,1570,1352833,0
125,244,222,0,789,1570,1352842,0
126,245,222,0,782,1570,1352851,0
127,245,222,0,788,1570,1352860,0
128,246,221,0,792,1570,1352869,0
129,247,221,0,786,1570,1352878,0
130,247,221,0,792,1570,1352887,0
131,248,221,0,785,1570,1352896,0
132,249,220,0,792,1570,1352905,0
133,249,220,0,800,1570,1352914,0
134,249,220,0,799,1580,1352923,0
135,250,220,0,801,1590,1352932,0
136,250,220,0,809,1590,1352941,0
137,251,219,0,802,1570,1352950,0
138,252,219,0,807,1570,1352959,0
139,252,218,0,812,1580,1352968,0
140,253,218,0,808,1580,1352977,0
141,254,218,0,812,1580,1352986,0
142,254,217,0,812,1570,1352995,0
143,255,217,0,813,1570,1353004,0
144,255,216,0,818,1570,1353013,0
145,256,216,0,821,1570,1353022,0
146,256,215,0,825,1560,1353031,0
147,257,215,0,833,1560,1353040,0
148,257,215,0,827,1560,1353049,0
149,257,214,0,835,1570,1353058,0
150,258,214,0,841,1570,1353067,0
151,258,213,0,834,1570,1353076,0
152,259,213,12,839,1570,1353085,0
153,259,212,0,839,1570,1353094,0
154,260,212,0,837,1580,1353103,0
155,261,211,12,843,1580,1353112,0
156,261,211,0,842,1590,1353121,0
157,262,210,0,842,1570,1353130,0
158,262,209,12,849,1590,1353139,0
159,263,209,0,845,1600,1353148,0
160,263,208,0,854,1600,1353157,0
161,263,207,0,840,1600,1353166,0
162,264,206,0,872,1590,1353175,0
163,264,206,0,880,1580,1353184,0
164,265,205,0,882,1580,1353193,0
165,265,204,0,884,1580,1353202,0
166,265,203,0,887,1590,1353211,0
167,266,202,0,891,1580,1353220,0
168,266,202,0,892,1590,1353229,0
169,266,201,0,897,1590,1353238,0
170,267,200,0,896,1590,1353247,0
171,267,199,0,903,1590,1353256,0
172,267,198,0,908,1590,1353265,0
173,267,197,0,901,1590,1353274,0
174,267,197,0,909,1570,1353283,0
175,267,196,0,913,1570,1353292,0
176,267,195,0,906,1580,1353301,0
177,268,194,0,914,1580,1353310,0
178,268,193,0,913,1590,1353319,0
179,268,193,0,912,1600,1353328,0
180,268,192,0,917,1600,1353337,0
181,268,191,0,913,1600,1353346,0
182,268,190,0,916,1600,1353355,0
183,268,189,0,922,1610,1353364,0
184,268,188,0,914,1600,1353373,0
185,267,187,0,920,1610,1353382,0
186,267,187,0,922,1610,1353391,0
187,267,186,0,920,1610,1353400,0
188,267,185,0,924,1610,1353409,0
189,267,184,0,921,1610,1353418,0
190,267,183,0,919,1620,1353427,0
191,267,182,0,924,1610,1353436,0
192,267,181,0,920,1610,1353445,0
193,267,181,0,924,1610,1353454,0
194,267,180,0,932,1610,1353463,0
195,267,179,0,924,1610,1353472,0
196,266,178,0,929,1600,1353481,0
197,266,177,0,932,1600,1353490,0
198,266,176,0,926,1610,1353499,0
199,266,176,0,936,1610,1353508,0
200,265,175,0,932,1610,1353517,0
201,265,174,0,932,1620,1353526,0
202,265,173,0,937,1620,1353535,0
203,265,172,0,936,1620,1353544,0
204,265,172,0,938,1620,1353553,0
205,264,171,0,939,1620,1353562,0
206,264,170,0,933,1620,1353571,0
207,264,169,0,940,1620,1353580,0
208,263,169,0,944,1620,1353589,0
209,263,168,0,937,1620,1353598,0
210,263,167,0,941,1620,1353607,0
211,263,166,0,941,1620,1353616,0
212,262,166,0,941,1610,1353625,0
213,262,165,0,945,1610,1353634,0
214,262,164,0,942,1610,1353643,0
215,261,163,0,945,1620,1353652,0
216,261,163,0,947,1620,1353661,0
217,260,162,0,941,1630,1353670,0
218,260,161,0,947,1630,1353679,0
219,259,161,0,950,1640,1353688,0
220,259,160,0,943,1650,1353697,0
221,258,159,0,948,1650,1353706,0
222,258,159,0,948,1660,1353715,0
223,257,158,0,942,1660,1353724,0
224,257,157,12,950,1650,1353733,0
225,256,157,0,949,1640,1353742,0
226,256,156,0,951,1620,1353751,0
227,255,156,0,953,1600,1353760,0
228,255,155,0,944,1590,1353769,0
229,254,155,0,950,1590,1353778,0
230,253,154,0,957,1600,1353787,0
231,253,154,0,947,1590,1353796,0
232,252,154,0,953,1590,1353805,0
233,251,153,0,953,1590,1353814,0
234,251,153,0,948,1600,1353823,0
235,250,153,0,954,1600,1353832,0
236,249,152,0,950,1590,1353841,0
237,249,152,0,953,1590,1353850,0
238,248,152,0,954,1590,1353859,0
239,247,151,0,946,1600,1353868,0
240,247,151,0,950,1600,1353877,0
241,246,151,0,954,1600,1353886,0
242,245,150,0,947,1610,1353895,0
243,244,150,0,951,1600,1353904,0
244,243,150,0,952,1600,1353913,0
245,242,150,0,947,1620,1353922,0
246,241,149,0,953,1610,1353931,0
247,241,149,0,950,1630,1353940,0
248,240,149,0,947,1630,1353949,0
249,239,149,0,952,1630,1353958,0
250,238,149,0,948,1630,1353967,0
251,237,148,0,950,1620,1353976,0
252,236,148,0,953,1620,1353985,0
253,235,148,0,947,1620,1353994,0
254,235,148,0,949,1620,1354003,0
255,234,148,0,951,1610,1354012,0
